IP: 147.102.13.0	Hostname: net.netmode.ece.ntua.gr
IP: 147.102.13.10	Hostname: dolly.netmode.ece.ntua.gr
IP: 147.102.13.11	Hostname: wiki.netmode.ece.ntua.gr
IP: 147.102.13.114	Hostname: psd.netmode.ece.ntua.gr
IP: 147.102.13.118	Hostname: mule-man.netmode.ece.ntua.gr
IP: 147.102.13.121	Hostname: www.netmode.ece.ntua.gr
IP: 147.102.13.122	Hostname: krist-wts.netmode.ece.ntua.gr
IP: 147.102.13.123	Hostname: vnews.netmode.ece.ntua.gr
IP: 147.102.13.124	Hostname: copier.netmode.ece.ntua.gr
IP: 147.102.13.131	Hostname: dhcp-131.netmode.ece.ntua.gr
IP: 147.102.13.134	Hostname: dhcp-134.netmode.ece.ntua.gr
IP: 147.102.13.135	Hostname: neo.netmode.ece.ntua.gr
IP: 147.102.13.136	Hostname: dhcp-136.netmode.ece.ntua.gr
IP: 147.102.13.148	Hostname: smaris-front.netmode.ece.ntua.gr
IP: 147.102.13.149	Hostname: wholelotta.netmode.ece.ntua.gr
IP: 147.102.13.151	Hostname: dhcp-tr-151.netmode.ece.ntua.gr
IP: 147.102.13.158	Hostname: panther.netmode.ece.ntua.gr
IP: 147.102.13.162	Hostname: main.netmode.ece.ntua.gr
IP: 147.102.13.170	Hostname: mute.netmode.ece.ntua.gr
IP: 147.102.13.19	Hostname: maria.netmode.ece.ntua.gr
IP: 147.102.13.190	Hostname: smith.netmode.ece.ntua.gr
IP: 147.102.13.191	Hostname: trinity.netmode.ece.ntua.gr
IP: 147.102.13.200	Hostname: router.netmode.ece.ntua.gr
IP: 147.102.13.201	Hostname: balerion.netmode.ece.ntua.gr
IP: 147.102.13.227	Hostname: onosvm.netmode.ece.ntua.gr
IP: 147.102.13.240	Hostname: manos.netmode.ece.ntua.gr
IP: 147.102.13.248	Hostname: takis.netmode.ece.ntua.gr
IP: 147.102.13.255	Hostname: 
IP: 147.102.13.27	Hostname: captain.netmode.ece.ntua.gr
IP: 147.102.13.30	Hostname: ssim.netmode.ece.ntua.gr
IP: 147.102.13.51	Hostname: webvm.netmode.ece.ntua.gr
IP: 147.102.13.54	Hostname: ups0.netmode.ece.ntua.gr
IP: 147.102.13.6	Hostname: rasp.netmode.ece.ntua.gr
IP: 147.102.13.61	Hostname: nephele-platform.netmode.ece.ntua.gr
IP: 147.102.13.63	Hostname: dhcp-63.netmode.ece.ntua.gr
IP: 147.102.13.64	Hostname: dhcp-64.netmode.ece.ntua.gr
IP: 147.102.13.65	Hostname: vostro.netmode.ece.ntua.gr
IP: 147.102.13.68	Hostname: dhcp-68.netmode.ece.ntua.gr
IP: 147.102.13.70	Hostname: sel-activities.netmode.ece.ntua.gr
IP: 147.102.13.71	Hostname: dhcp-71.netmode.ece.ntua.gr
IP: 147.102.13.79	Hostname: dhcp-79.netmode.ece.ntua.gr
IP: 147.102.13.8	Hostname: venom.netmode.ece.ntua.gr
IP: 147.102.13.91	Hostname: netmg.netmode.ece.ntua.gr
IP: 147.102.13.94	Hostname: newvy.netmode.ece.ntua.gr
